tweets,compound_score,sentiment
"Right now Terrance, I am at a 1. There is a woman sitting in jail due to a list, Diddy not guilty in 3 major charges, Trump trying to sweep the Epstein files under the carpet and so many children who were and possibly still being abused and moved abound have no justice.",-0.73,negative
"1996: Guilty - criminal mischief Diddy pulled gun on paparazzi and took camera film 1999: Guilty - originally Felony assault/criminal mischief - after public apology, reduced to harassment. Diddy beat Steven Stoute with champagne bottle,",-0.9638,negative
"Was Diddy a test run to see if average people would convict big names with sex crimes or be ""star struck"" and let them walk? Diddy was found ""not guilty"" of similar charges. Is this why the about face re: Epstein's clients? Consider the timing.",-0.2796,negative
"Diddy could face 'substantial' prison time after guilty verdict, warns OJ Simpson's lawyer Details:",-0.6249,negative
"There are 3 sides to every story. Your side, their side and the truth. Now I sure as hell don’t know the truth but let’s look at the possibilities First before mentioning anything Epstein, let’s look at Diddy. Guilty as sin yet he magically gets off on the serious charges",-0.8674,negative
"Let's be clear Diddy was found guilty of a low level non violent violation of a problematic federal law. Diddy maintains his innocent, true ignorance is not an excuse in the eyes of the law, however the law accepts negligence and that is the DiddyTrial and Diddyverdict",-0.8187,negative
Lmao is that not the same thing as what Diddy was found guilty of? Transportation for the purpose of prostitution? 👀,0.3527,positive
"“The Daily Mail has also reported that in the case of a guilty verdict, Diddy could use ties with politicians in DC to potentially help obtain a pardon. It has also alleged that his ‘good friend’ DonaldTrump has said he would consider this” - Grazia",0.4215,positive
Gates went there so many times and why isn’t he charged with anything? For 1 example Those girls were taken out of the country to an island. Omg Look at Diddy. Does anyone think he’ll get the 20years for his guilty 2 charges. Not RIcO. So sad Too bad we can’t have public,-0.9254,negative
How is this man not in prison especially after p diddy was found not guilty,0.6167,positive
Diddy Facing 20 Years In Jail After Being Found Guilty TheSauceKe,-0.4215,negative
"Sean “Diddy” Combs is facing renewed backlash following his high-profile trial. Though acquitted of major charges like sex trafficking, he was found guilty on 2 counts of transporting individuals for prostitution. ⚖️💥 Diddy CelebrityTrial JusticeForVictims",-0.4432,negative
"Judging a persons whole personality by one misunderstanding, it's not even a criminal offense.Dang so narrowminded. Get a life men. Even diddy SA everybody, still not guilty.",0.32,positive
"Ah yes because these files were priority on the reasons to vote for Trump.... While important they won't resolve national issues. I mean while we're out at why don't we revisit the Diddy issue? Everyone says he's guilty, like the Epstein of Hollywood... They say he has files too.",0.2537,positive
"The idea was to prosecute the perps instead we get ""make no mistake, we will prosecute ...to the fullest extent of the law,"" and Diddy is found ""not guilty,"" and the infamous E files ""poof"" gone. Da fuh just happened? Worse MIB memory wipe attempt ever.",-0.6288,negative
Diddy found guilty of giving prostitutes on duty a ride Epstein found guilty of downloading child pornography And Maxwell found guilty of trafficking for no one If you believe their fantasy then this is your reality,-0.802,negative
The jury deliberating on Diddy’ fate returned a unanimous verdict. The jury found Diddy not guilty on 3 of the 5 charges - 1 count of racketeering &amp; 2 counts of sex trafficking. Diddy was found guilty of 2 counts of transportation to engage in prostitution,0.1109,positive
"Diddy juror points to where defense ‘poked holes’ in prosecution’s case to get racketeering acquittal: A jury of his peers found rapper Sean ""Diddy"" Combs not guilty of the most serious charges he had been facing on July 2. On that day, the jury told t...",-0.036,neutral
"NPR Sheldon Pearce After two months in a Manhattan courtroom, the federal trial of hip-hop mogul Sean Combs, also known as Diddy or Puff Daddy, has come to an uneasy close. On Thursday, Combs received a mixed verdict from the jury: not guilty on the more serious charges, one",-0.3898,negative
